neuston	survey	local date	lat_cent	lon_cent	Total item/Km²	nº micro (?5mm)	w micro (g)	nº meso (>5mm & ?25mm)	w meso (g)	nº macro (>25mm)	w macro (g)
1	BIOMAN 2019	20190511	43.4795	-4.9312		837	0.02532	2	0.00083	0	0
2	BIOMAN 2019	20190512	43.5298	-3.8994		954	0.02687	3	0.32122	0	0
3	BIOMAN 2019	20190513	43.9289	-2.8797		1830	0.03637	3	0.03307	1	0.00819
4	BIOMAN 2019	20190513	43.4428	-2.8670		273	0.02975	3	0.01904	0	0
5	BIOMAN 2019	20190514	43.4292	-1.8283		2118	0.12444	4	0.00434	2	0.00654
6	BIOMAN 2019	20190515	43.6130	-1.9307		396	0.04569	7	0.00732	1	0.00272
7	BIOMAN 2019	20190515	43.6425	-1.4755		243	0.00904	1	0.00153	0	0
8	BIOMAN 2019	20190515	44.0085	-2.2895		170	0.07416	4	0.04034	2	0.98325
9	BIOMAN 2019	20190515	43.9950	-1.4090		347	0.00339	3	0.00115	0	0
10	BIOMAN 2019	20190516	44.3833	-2.5483		152	0.00611	1	5E-05	1	0.00324
11	BIOMAN 2019	20190516	44.3670	-1.3083		828	0.00513	0	0	0	0
12	BIOMAN 2019	20190517	44.8682	-2.9249		393	0.00283	40	0.06011	17	0.05301
13	BIOMAN 2019	20190517	44.8680	-1.2675		367	0.01011	0	0	0	0
14	BIOMAN 2019	20190518	45.3665	-3.4210		445	0.11279	2	0.05093	4	1.14583
15	BIOMAN 2019	20190518	45.3710	-1.2222		142	0.00745	0	0	0	0
16	BIOMAN 2019	20190519	45.6212	-3.7092		66	0.02573	0	0	1	0.00509
17	BIOMAN 2019	20190520	45.6202	-2.3630		354	0.03519	3	0.00159	2	0.11441
18	BIOMAN 2019	20190520	45.6173	-1.3892		264	0.01176	0	0	0	0
19	BIOMAN 2019	20190521	45.8724	-1.4432		236	0.05127	2	0.01583	0	0
20	BIOMAN 2019	20190522	45.8717	-2.5793		290	0.0279	3	0.00722	0	0
21	BIOMAN 2019	20190522	45.8789	-4.0077		2856	0.45568	89	0.38847	22	1.99178
22	BIOMAN 2019	20190522	46.1323	-4.3123		683	0.01922	4	0.0045	2	0.07503
23	BIOMAN 2019	20190523	46.1218	-2.7273		381	0.0145	2	0.00615	2	0.01888
24	BIOMAN 2019	20190523	46.1158	-1.6450		229	0.00424	4	0.00395	0	0
25	BIOMAN 2019	20190525	46.8729	-2.5153		47	0	0	0	0	0
26	BIOMAN 2019	20190525	46.8647	-3.3123		238	0.00405	0	0	0	0
27	BIOMAN 2019	20190526	46.8622	-5.4175		176	0.0059	0	0	2	0.58733
28	BIOMAN 2019	20190526	47.1167	-5.5985		78	0.01965	2	0.00137	1	0.00936
29	BIOMAN 2019	20190526	47.1135	-3.6858		128	0.00509	0	0	0	0
30	BIOMAN 2019	20190526	47.1202	-2.7317		109	0.00811	1	0	0	0
31	BIOMAN 2019	20190528	47.8752	-4.4152		579	0.00103	0	0	0	0
32	BIOMAN 2019	20190529	47.8652	-5.3280		151	0.00097	1	0.00399	0	0
					mean	511.25	0.037804375	5.75	0.03040625	1.875	0.156395625
					max	2856	0.45568	89	0.38847	22	1.99178
					min		0.00097		0.0000500		0.00272
